"name","cas","dcb","code","pharmacy"
anagain nutri (po),,,"12211",b
anagalis arvensis homeo,,,"6276",b
ananas comosus homeo,,,"14274",b
ananas sativus (homeo),,,"13292",b
anas barbariae homeo,,,"8107",b
anastrozol,,,"6283",c
anastrozol dil 1/100,,,"4843",b
andarine,,,"12962",b
anemona pratensis homeo,,,"7792",b
anemonis pratensis homeo,,,"7793",b
angel be,,,"14791",b
angel be,,,"11181",c
angel s trumpet floral (cal),,,"6910",b
angelica - calif,,,"8599",b
angelica ext seco,,,"6016",c
angelica floral (cal),,,"6911",b
angelsword floral (aus),,,"7208",b
anhalonium lewinii homeo,,,"8622",b
anil floral (mg),,,"6761",b
anis estrelado homeo,,,"6278",b
anis floral (sg),,,"4482",b
anisum stellatum tm,,,"13806",b
anlodipina diluida 1:10,,,"2664",a
"anlodipino besilato feq 1,39",,"00805","6878",c
ansiless,,,"12598",b
antena (gaia),,,"14854",b
anti acne complex (biotec),,,"12516",b
anti acne complex acabou,,,"2074",a
antimonium crudum ho,,,"5891",c
antimonium crudum homeo,,,"9833",b
antimonium crudum homeo,,,"6080",b
antimonium metallicum (homeo),,,"13657",b
antimonium tartaricum ho,,,"4647",c
antimonium tartaricum homeo,,,"7877",b
antiox plus (bio vital),,,"13930",b
antioxidante padrao,,,"8904",c
antioxidante para hidroquinona,,,"4265",b
antipollon ht,,,"7066",c
antipollon ht,,,"9994",b
antipollon ht acabou,"12141467",,"9994",a
antopure,,,"12450",b
antralina,,,"50647",b
apigenina,,,"12055",b
apigenina son enc. 11/08/21,,,"12237",a
apis melifica ho,,,"4646",c
apis mellifica homeo,,,"6285",b
apis mellifica tm,,,"6413",b
apiscalp (pharma special),,,"13624",b
aplic pen 15ml ponta abaulada,,,"9408",b
aplicador anal,,,"31549",a
aplicador graduado,,,"11399",a
aplicador graduado 1g,,,"15482",b
aplicador latanoprosta cilios,,,"4206",c
aplicador ovulo acabou,,,"37242",a
aplicador vaginal 5 g,,,"8282",a
aplicador vaginal 5g,,,"6784",c
aplicador vaginal emb 5g gradu,,,"14228",b
apomorphinum hydro ho,,,"11592",c
apricot kernel acabou,"68650442",,"1668",a
aqua licorice extract,,,"6250",c
aqua licorice pt,,,"1299",b
aquafeel(biovital),,,"10774",b
aquaporine,,,"3197",b
aquaporine,,,"6760",c
aquaporine active aqp-3,,,"36331",a
aquasome ae acabou,,,"9416",a
aquasome e/c,,,"70609",b
aquaxyl,,,"13570",b
ara (phd),,,"9631",b
arbutim,"497767",,"16974",a
arbutim,,,"16974",b
arbutin,"497767",,"4414",c
argan oleo,,,"6948",c
argentum nitricum homeo,,,"3331",b
argila branca,,,"5810",b
argila verde,,,"5755",b
arginina alfa cetog acabou,,,"7553",a
arginina hcl,"1119342","00869","50659",a
argireline,"122996",,"3334",a
argireline,,,"1472",b
argireline,,,"6595",c
argirelox,,,"9417",b
aripiprazol,"129722129","00875","13526",a
aripiprazol,"129722129","00875","11659",b
aripiprazol dil 1/100,,,"11814",b
aripiprazol homeo,,,"14397",b
aristoflex avc,"335383603",,"9110",a
aristoflex avc,,,"1197",b
aristoflex avc,,,"5734",c
aristoflex avl,,,"3959",b
aristolachia clematis,,,"10317",b
aristoloquia floral (mg),,,"6763",b
arnica campestre floral (mg),,,"3478",b
arnica floral (cal),,,"6913",b
arnica montana ho,,,"4655",c
arnica montana homeo,,,"5984",b
arnica montana tintura **,,,"6217",c
arnica montana tm-(uso),,,"6663",b
arnica silvestre floral (sg),,,"3031",b
aroma abacaxi,,,"12761",b
aroma abacaxi po,,,"41977",a
aroma bacon vet,,,"8347",a
aroma baunilha para liq.,,,"5627",a
aroma baunilha po,,,"2038",b
aroma carne churrasco acabou,,,"24302",a
aroma chocolate,,,"5758",b
aroma churrasco usar 24302,,,"8345",a
